npm,acc,nom,npa,noa,cbo,amloc,lcom4,dit,noc,accm,_module,loc,_filename,anpm,mmloc,rfc,sc,folder,type
32,109,32,0,1,1,5.46875,4,0,0,1.28125,DBase::SQLRequest,175,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",1.03125,10,66,4,winyl-master,music
2,16,2,18,18,0,12.5,2,0,0,6.5,DBase::SmartList,25,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",0.5,16,8,0,winyl-master,music
156,42,156,13,13,15,34.4166666666667,4,0,0,5.10897435897436,DBase,5369,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",2.02564102564103,213,1238,60,winyl-master,music
0,2,0,25,25,0,0,0,0,0,0,DBase::DATABASE_GETINFO,0,"['Winyl/src/DBase.h', 'Winyl/src/DBase.cpp']",0,0,0,0,winyl-master,music
9,161,12,0,3,0,13.9166666666667,4,0,25,2.16666666666667,DialogEx,167,"['Winyl/src/DialogEx.h', 'Winyl/src/DialogEx.cpp']",1.5,49,25,0,winyl-master,music
3,1,9,0,4,2,17.7777777777778,3,1,0,2.55555555555556,DlgAbout,160,"['Winyl/src/DlgAbout.h', 'Winyl/src/DlgAbout.cpp']",1.11111111111111,56,27,6,winyl-master,music
5,1,11,4,8,6,14.3636363636364,3,1,0,1.90909090909091,DlgConfig,158,"['Winyl/src/DlgConfig.h', 'Winyl/src/DlgConfig.cpp']",0.909090909090909,63,69,18,winyl-master,music
6,1,23,0,29,6,23.7826086956522,3,1,0,3.52173913043478,DlgEqualizer,547,"['Winyl/src/DlgEqualizer.h', 'Winyl/src/DlgEqualizer.cpp']",0.956521739130435,154,180,18,winyl-master,music
0,1,0,3,3,0,0,0,0,0,0,DlgEqualizer::structPreset,0,"['Winyl/src/DlgEqualizer.h', 'Winyl/src/DlgEqualizer.cpp']",0,0,0,0,winyl-master,music
5,1,13,0,12,5,27.8461538461538,2,1,0,6.15384615384615,DlgHotKeys,362,"['Winyl/src/DlgHotKeys.h', 'Winyl/src/DlgHotKeys.cpp']",1.30769230769231,85,73,10,winyl-master,music
5,1,10,0,5,4,22.6,2,1,0,2.8,DlgLanguage,226,"['Winyl/src/DlgLanguage.h', 'Winyl/src/DlgLanguage.cpp']",0.8,138,34,8,winyl-master,music
4,2,10,2,5,4,12.1,3,1,0,1.9,DlgLibrary,121,"['Winyl/src/DlgLibrary.h', 'Winyl/src/DlgLibrary.cpp']",0.9,43,44,12,winyl-master,music
6,1,29,0,7,8,36.6551724137931,3,1,0,4.75862068965517,DlgNewVersion,1063,"['Winyl/src/DlgNewVersion.h', 'Winyl/src/DlgNewVersion.cpp']",0.96551724137931,168,186,24,winyl-master,music
5,1,10,0,3,2,6.9,3,1,0,1.6,DlgOpenURL,69,"['Winyl/src/DlgOpenURL.h', 'Winyl/src/DlgOpenURL.cpp']",0.7,24,24,6,winyl-master,music
8,7,19,0,6,6,10.8947368421053,3,1,0,2.26315789473684,DlgPageCover,207,"['Winyl/src/DlgPageCover.h', 'Winyl/src/DlgPageCover.cpp']",0.578947368421053,52,70,18,winyl-master,music
10,4,13,0,7,8,13.6923076923077,4,1,0,1.92307692307692,DlgPageGeneral,178,"['Winyl/src/DlgPageGeneral.h', 'Winyl/src/DlgPageGeneral.cpp']",0.692307692307692,79,82,32,winyl-master,music
3,1,8,0,3,4,13.375,3,1,0,2.125,DlgPageGeneralXP,107,"['Winyl/src/DlgPageGeneralXP.h', 'Winyl/src/DlgPageGeneralXP.cpp']",0.625,42,30,12,winyl-master,music
7,4,12,0,7,4,15.3333333333333,3,1,0,3.16666666666667,DlgPageLibrary,184,"['Winyl/src/DlgPageLibrary.h', 'Winyl/src/DlgPageLibrary.cpp']",0.833333333333333,66,45,12,winyl-master,music
10,4,12,0,5,2,4.08333333333333,3,1,0,1.08333333333333,DlgPageLibraryOpt,49,"['Winyl/src/DlgPageLibraryOpt.h', 'Winyl/src/DlgPageLibraryOpt.cpp']",0.583333333333333,15,30,6,winyl-master,music
8,7,19,0,9,2,7.63157894736842,3,1,0,1.84210526315789,DlgPageLyrics,145,"['Winyl/src/DlgPageLyrics.h', 'Winyl/src/DlgPageLyrics.cpp']",0.684210526315789,36,61,6,winyl-master,music
7,4,10,0,4,4,8.9,3,1,0,2.7,DlgPageMini,89,"['Winyl/src/DlgPageMini.h', 'Winyl/src/DlgPageMini.cpp']",1,20,38,12,winyl-master,music
8,4,13,0,8,5,13.3076923076923,4,1,0,2.61538461538462,DlgPagePopup,173,"['Winyl/src/DlgPagePopup.h', 'Winyl/src/DlgPagePopup.cpp']",1.07692307692308,52,74,20,winyl-master,music
9,4,23,0,7,6,15.5217391304348,5,1,0,2.73913043478261,DlgPageSystem,357,"['Winyl/src/DlgPageSystem.h', 'Winyl/src/DlgPageSystem.cpp']",0.565217391304348,77,128,30,winyl-master,music
4,3,14,0,3,2,21.6428571428571,4,1,0,5.07142857142857,DlgPageTags,303,"['Winyl/src/DlgPageTags.h', 'Winyl/src/DlgPageTags.cpp']",0.785714285714286,57,36,8,winyl-master,music
6,3,18,1,8,6,8.5,3,1,0,1.88888888888889,DlgProgress,153,"['Winyl/src/DlgProgress.h', 'Winyl/src/DlgProgress.cpp']",0.777777777777778,32,81,18,winyl-master,music
9,1,23,4,17,5,17.7391304347826,2,1,0,2.52173913043478,DlgProperties,408,"['Winyl/src/DlgProperties.h', 'Winyl/src/DlgProperties.cpp']",0.869565217391304,85,140,10,winyl-master,music
5,1,10,0,2,2,6.7,3,1,0,1.6,DlgRename,67,"['Winyl/src/DlgRename.h', 'Winyl/src/DlgRename.cpp']",0.8,24,24,6,winyl-master,music
5,1,13,0,10,8,22.8461538461538,2,1,0,3.61538461538462,DlgSkin,297,"['Winyl/src/DlgSkin.h', 'Winyl/src/DlgSkin.cpp']",1.23076923076923,110,67,16,winyl-master,music
6,2,16,0,12,5,22,2,1,0,2.75,DlgSmart,352,"['Winyl/src/DlgSmart.h', 'Winyl/src/DlgSmart.cpp']",0.6875,165,97,10,winyl-master,music
4,1,9,0,2,3,10.7777777777778,3,1,0,1.88888888888889,DlgSmartAlbums,97,"['Winyl/src/DlgSmartAlbums.h', 'Winyl/src/DlgSmartAlbums.cpp']",0.666666666666667,27,28,9,winyl-master,music
4,1,12,0,2,3,23.8333333333333,3,1,0,2.83333333333333,DlgSmartTracks,286,"['Winyl/src/DlgSmartTracks.h', 'Winyl/src/DlgSmartTracks.cpp']",0.5,123,54,9,winyl-master,music
4,2,5,0,3,0,17.4,3,0,0,1.8,DragIconWnd,87,"['Winyl/src/DragIconWnd.h', 'Winyl/src/DragIconWnd.cpp']",0.4,60,13,0,winyl-master,music
8,1,8,0,1,1,5.25,8,1,0,1.25,DropTargetOpen::SimpleDropTarget,42,"['Winyl/src/DropTargetOpen.h', 'Winyl/src/DropTargetOpen.cpp']",1.75,11,12,8,winyl-master,music
4,0,4,0,2,0,8.25,4,1,0,1.25,DropTargetOpen::ProcessReference,33,"['Winyl/src/DropTargetOpen.h', 'Winyl/src/DropTargetOpen.cpp']",0.75,12,5,0,winyl-master,music
4,4,4,3,3,0,23,4,0,0,3,DropTargetOpen,92,"['Winyl/src/DropTargetOpen.h', 'Winyl/src/DropTargetOpen.cpp']",1.25,62,6,0,winyl-master,music
4,0,4,0,0,2,8,4,1,0,2.25,DropTargetOpen::SimpleClassFactory,32,"['Winyl/src/DropTargetOpen.h', 'Winyl/src/DropTargetOpen.cpp']",1.75,12,6,8,winyl-master,music
15,19,21,0,1,2,22.4761904761905,21,0,0,3.66666666666667,ExImage::Source,472,"['Winyl/src/ExImage.h', 'Winyl/src/ExImage.cpp']",1.52380952380952,76,31,42,winyl-master,music
36,76,36,0,3,4,13.5277777777778,9,0,0,2.19444444444444,ExImage,487,"['Winyl/src/ExImage.h', 'Winyl/src/ExImage.cpp']",2.94444444444444,59,127,36,winyl-master,music
7,1,8,0,1,0,3.625,5,0,0,1.125,ExImage::Source::ImagingFactory,29,"['Winyl/src/ExImage.h', 'Winyl/src/ExImage.cpp']",0.25,8,12,0,winyl-master,music
9,4,17,0,6,0,24.7058823529412,3,0,0,4.11764705882353,FileDialogEx,420,"['Winyl/src/FileDialogEx.h', 'Winyl/src/FileDialogEx.cpp']",1.82352941176471,149,50,0,winyl-master,music
0,0,0,2,2,0,0,0,0,0,0,FileDialogEx::_FILE_TYPES,0,"['Winyl/src/FileDialogEx.h', 'Winyl/src/FileDialogEx.cpp']",0,0,0,0,winyl-master,music
11,26,11,0,0,2,12.9090909090909,11,0,0,2.09090909090909,FileSystem,142,"['Winyl/src/FileSystem.cpp', 'Winyl/src/FileSystem.h']",0.636363636363636,44,13,22,winyl-master,music
11,9,13,0,3,2,10.3076923076923,3,0,0,2.15384615384615,FileSystem::Find,134,"['Winyl/src/FileSystem.h', 'Winyl/src/FileSystem.cpp']",0.384615384615385,25,37,6,winyl-master,music
9,5,10,0,2,2,8.4,4,0,0,1.9,FileSystem::FindFile,84,"['Winyl/src/FileSystem.h', 'Winyl/src/FileSystem.cpp']",0.3,17,25,8,winyl-master,music
4,2,4,0,2,3,18.25,3,0,0,3.75,FontsLoader,73,"['Winyl/src/FontsLoader.h', 'Winyl/src/FontsLoader.cpp']",1,55,18,9,winyl-master,music
0,0,0,4,4,0,0,0,0,0,0,_DWM_BLURBEHIND,0,"['Winyl/src/FutureWin.h', 'Winyl/src/FutureWin.cpp']",0,0,0,0,winyl-master,music
49,57,49,1,45,0,7.73469387755102,1,0,0,1.77551020408163,FutureWin,379,"['Winyl/src/FutureWin.h', 'Winyl/src/FutureWin.cpp']",2.40816326530612,35,153,0,winyl-master,music
0,3,0,6,6,0,0,0,0,0,0,HotKeys::structKey,0,"['Winyl/src/HotKeys.h', 'Winyl/src/HotKeys.cpp']",0,0,0,0,winyl-master,music
12,4,13,0,2,3,11.0769230769231,3,0,0,2.46153846153846,HotKeys,144,"['Winyl/src/HotKeys.h', 'Winyl/src/HotKeys.cpp']",0.923076923076923,44,47,9,winyl-master,music
5,0,5,0,5,0,33.8,3,0,0,5.8,HttpClient,169,"['Winyl/src/HttpClient.h', 'Winyl/src/HttpClient.cpp']",2.2,149,16,0,winyl-master,music
9,72,9,0,3,2,27.6666666666667,4,0,0,8.44444444444444,Language,249,"['Winyl/src/Language.h', 'Winyl/src/Language.cpp']",0.777777777777778,151,23,8,winyl-master,music
8,7,10,0,9,0,19.1,2,0,0,2.7,LastFM,191,"['Winyl/src/LastFM.h', 'Winyl/src/LastFM.cpp']",0.5,68,42,0,winyl-master,music
53,30,72,0,58,11,28.3333333333333,9,0,0,4.68055555555556,LibAudio,2040,"['Winyl/src/LibAudio.cpp', 'Winyl/src/LibAudio.h']",1.81944444444444,114,509,99,winyl-master,music
0,3,0,3,3,0,0,0,0,0,0,LibAudio::Buffer,0,"['Winyl/src/LibAudio.h', 'Winyl/src/LibAudio.cpp']",0,0,0,0,winyl-master,music
0,8,0,4,4,0,0,0,0,0,0,LibAudio::FadeTime,0,"['Winyl/src/LibAudio.h', 'Winyl/src/LibAudio.cpp']",0,0,0,0,winyl-master,music
0,2,0,4,4,0,0,0,0,0,0,LibAudio::STRUCTBUFFER,0,"['Winyl/src/LibAudio.h', 'Winyl/src/LibAudio.cpp']",0,0,0,0,winyl-master,music
11,3,34,0,6,5,22.9117647058824,4,0,0,4.29411764705882,LyricsLoader,779,"['Winyl/src/LyricsLoader.h', 'Winyl/src/LyricsLoader.cpp']",1.58823529411765,92,117,20,winyl-master,music
3,0,6,0,1,2,21.8333333333333,3,0,0,5,MessageBox,131,"['Winyl/src/MessageBox.h', 'Winyl/src/MessageBox.cpp']",3,44,16,6,winyl-master,music
4,0,4,0,0,0,13.25,4,0,0,2,Messengers,53,"['Winyl/src/Messengers.h', 'Winyl/src/Messengers.cpp']",0.5,29,4,0,winyl-master,music
8,18,9,0,4,1,14.6666666666667,3,0,0,4.33333333333333,MoveResize,132,"['Winyl/src/MoveResize.h', 'Winyl/src/MoveResize.cpp']",1.11111111111111,54,24,3,winyl-master,music
13,1,14,1,3,0,8.14285714285714,9,1,0,1.57142857142857,MyDataObject,114,"['Winyl/src/MyDataObject.cpp', 'Winyl/src/MyDataObject.h']",2,25,21,0,winyl-master,music
7,2,7,1,2,0,6.85714285714286,4,1,0,2,MyDropSource,48,"['Winyl/src/MyDropSource.h', 'Winyl/src/MyDropSource.cpp']",0.857142857142857,23,11,0,winyl-master,music
8,1,8,1,2,1,6,6,1,0,1.5,MyDropTarget,48,"['Winyl/src/MyDropTarget.h', 'Winyl/src/MyDropTarget.cpp']",1.875,23,12,6,winyl-master,music
3,0,3,0,0,0,30.6666666666667,1,0,0,4.66666666666667,PackSkin,92,['Winyl/src/PackSkin/PackSkin/PackSkin.cpp'],1.33333333333333,45,5,0,winyl-master,music
0,0,0,0,0,0,0,0,0,0,0,PackSkin/PackSkin/stdafx,0,"['Winyl/src/PackSkin/PackSkin/stdafx.h', 'Winyl/src/PackSkin/PackSkin/stdafx.cpp']",0,0,0,0,winyl-master,music
8,1,15,0,2,3,19.4,3,0,0,4.13333333333333,PlsFile,291,"['Winyl/src/PlsFile.h', 'Winyl/src/PlsFile.cpp']",1,75,63,9,winyl-master,music
0,7,0,3,3,0,0,0,0,0,0,PlsFile::structTrack,0,"['Winyl/src/PlsFile.h', 'Winyl/src/PlsFile.cpp']",0,0,0,0,winyl-master,music
0,0,0,4,4,0,0,0,0,0,0,Progress::FileStruct,0,"['Winyl/src/Progress.h', 'Winyl/src/Progress.cpp']",0,0,0,0,winyl-master,music
24,6,45,0,30,12,26.2222222222222,3,0,0,4.66666666666667,Progress,1180,"['Winyl/src/Progress.h', 'Winyl/src/Progress.cpp']",1.55555555555556,121,481,36,winyl-master,music
50,1,55,3,29,18,11.7636363636364,3,0,0,2.49090909090909,Properties,647,"['Winyl/src/Properties.h', 'Winyl/src/Properties.cpp']",0.618181818181818,166,368,54,winyl-master,music
0,1,0,15,15,0,0,0,0,0,0,Properties::FIELDS,0,"['Winyl/src/Properties.h', 'Winyl/src/Properties.cpp']",0,0,0,0,winyl-master,music
4,2,4,0,0,2,44.25,4,0,0,3.5,Radio,177,"['Winyl/src/Radio.h', 'Winyl/src/Radio.cpp']",1,145,13,8,winyl-master,music
0,0,0,4,4,0,0,0,0,0,0,RadioList,0,['Winyl/src/RadioList.h'],0,0,0,0,winyl-master,music
160,57,160,3,79,4,5.5875,10,0,0,1.5625,Settings,894,"['Winyl/src/Settings.h', 'Winyl/src/Settings.cpp']",0.49375,316,557,40,winyl-master,music
0,23,0,9,9,0,0,0,0,0,0,Settings::LIBRARY,0,"['Winyl/src/Settings.h', 'Winyl/src/Settings.cpp']",0,0,0,0,winyl-master,music
0,2,0,2,2,0,0,0,0,0,0,SkinAlpha::TimerValue,0,"['Winyl/src/SkinAlpha.h', 'Winyl/src/SkinAlpha.cpp']",0,0,0,0,winyl-master,music
7,0,21,3,9,8,14,3,1,0,3.04761904761905,SkinAlpha,294,"['Winyl/src/SkinAlpha.h', 'Winyl/src/SkinAlpha.cpp']",1.76190476190476,57,141,24,winyl-master,music
14,0,14,1,1,7,15.0714285714286,8,1,0,3.5,SkinButton,211,"['Winyl/src/SkinButton.h', 'Winyl/src/SkinButton.cpp']",0.928571428571429,50,57,56,winyl-master,music
10,0,10,0,11,6,24.1,3,1,0,4.7,SkinCover,241,"['Winyl/src/SkinCover.h', 'Winyl/src/SkinCover.cpp']",0.8,73,89,18,winyl-master,music
64,70,77,0,35,12,24.6493506493506,3,0,0,4.66233766233766,SkinDraw,1898,"['Winyl/src/SkinDraw.h', 'Winyl/src/SkinDraw.cpp']",0.974025974025974,167,512,36,winyl-master,music
0,1,0,12,12,0,0,0,0,0,0,SkinDraw::DefaultSize,0,"['Winyl/src/SkinDraw.h', 'Winyl/src/SkinDraw.cpp']",0,0,0,0,winyl-master,music
11,0,22,0,14,3,13.3636363636364,2,1,0,2.5,SkinEdit,294,"['Winyl/src/SkinEdit.h', 'Winyl/src/SkinEdit.cpp']",1.13636363636364,80,101,6,winyl-master,music
27,94,27,14,14,2,4.14814814814815,20,0,7,1.25925925925926,SkinElement,112,"['Winyl/src/SkinElement.h', 'Winyl/src/SkinElement.cpp']",0.666666666666667,27,52,40,winyl-master,music
0,3,0,3,3,0,0,0,0,0,0,SkinElement::FadeValue,0,"['Winyl/src/SkinElement.h', 'Winyl/src/SkinElement.cpp']",0,0,0,0,winyl-master,music
17,2,17,9,9,4,30.9411764705882,4,0,0,6.76470588235294,SkinLayout,526,"['Winyl/src/SkinLayout.h', 'Winyl/src/SkinLayout.cpp']",1.94117647058824,124,148,16,winyl-master,music
0,4,0,24,24,0,0,0,0,0,0,SkinLayout::structPos,0,"['Winyl/src/SkinLayout.h', 'Winyl/src/SkinLayout.cpp']",0,0,0,0,winyl-master,music
11,0,11,3,3,6,29.4545454545455,5,0,0,4.45454545454545,SkinLayoutBack,324,"['Winyl/src/SkinLayoutBack.cpp', 'Winyl/src/SkinLayoutBack.h']",1.27272727272727,119,75,30,winyl-master,music
0,5,0,3,3,0,0,0,0,0,0,SkinLayoutBack::structElm,0,"['Winyl/src/SkinLayoutBack.h', 'Winyl/src/SkinLayoutBack.cpp']",0,0,0,0,winyl-master,music
0,2,0,16,16,0,0,0,0,0,0,SkinLayoutBack::structPos,0,"['Winyl/src/SkinLayoutBack.h', 'Winyl/src/SkinLayoutBack.cpp']",0,0,0,0,winyl-master,music
0,1,0,2,2,0,0,0,0,0,0,SkinLayoutBack::DefaultFill,0,"['Winyl/src/SkinLayoutBack.h', 'Winyl/src/SkinLayoutBack.cpp']",0,0,0,0,winyl-master,music
0,2,0,16,16,0,0,0,0,0,0,SkinLayoutElement::structPos,0,"['Winyl/src/SkinLayoutElement.h', 'Winyl/src/SkinLayoutElement.cpp']",0,0,0,0,winyl-master,music
9,0,9,4,4,3,50.1111111111111,5,0,0,8.11111111111111,SkinLayoutElement,451,"['Winyl/src/SkinLayoutElement.h', 'Winyl/src/SkinLayoutElement.cpp']",1.22222222222222,219,49,15,winyl-master,music
64,32,107,8,75,10,26.7476635514019,4,1,0,4.81308411214953,SkinList,2862,"['Winyl/src/SkinList.h', 'Winyl/src/SkinList.cpp']",1.4392523364486,228,808,40,winyl-master,music
0,1,0,4,4,0,0,0,0,0,0,SkinListBack::structState,0,"['Winyl/src/SkinListBack.h', 'Winyl/src/SkinListBack.cpp']",0,0,0,0,winyl-master,music
0,1,0,2,2,0,0,0,0,0,0,SkinListBack::DefaultFill,0,"['Winyl/src/SkinListBack.h', 'Winyl/src/SkinListBack.cpp']",0,0,0,0,winyl-master,music
12,0,12,6,6,7,30.5,4,0,0,7,SkinListBack,366,"['Winyl/src/SkinListBack.h', 'Winyl/src/SkinListBack.cpp']",2.25,98,101,28,winyl-master,music
0,5,0,3,3,0,0,0,0,0,0,SkinListBack::structElm,0,"['Winyl/src/SkinListBack.h', 'Winyl/src/SkinListBack.cpp']",0,0,0,0,winyl-master,music
0,2,0,11,11,0,0,0,0,0,0,SkinListBack::structPos,0,"['Winyl/src/SkinListBack.h', 'Winyl/src/SkinListBack.cpp']",0,0,0,0,winyl-master,music
0,11,0,7,7,0,0,0,0,0,0,SkinListElement::structElm,0,"['Winyl/src/SkinListElement.h', 'Winyl/src/SkinListElement.cpp']",0,0,0,0,winyl-master,music
16,0,16,9,9,8,50.6875,3,0,0,9,SkinListElement,811,"['Winyl/src/SkinListElement.h', 'Winyl/src/SkinListElement.cpp']",3.6875,116,190,24,winyl-master,music
0,6,0,9,9,0,0,0,0,0,0,SkinListElement::structPos,0,"['Winyl/src/SkinListElement.h', 'Winyl/src/SkinListElement.cpp']",0,0,0,0,winyl-master,music
0,1,0,4,4,0,0,0,0,0,0,SkinListElement::structState,0,"['Winyl/src/SkinListElement.h', 'Winyl/src/SkinListElement.cpp']",0,0,0,0,winyl-master,music
13,42,13,0,1,1,3.07692307692308,2,0,0,1.46153846153846,SkinListNode::SmartPtr,40,"['Winyl/src/SkinListNode.h', 'Winyl/src/SkinListNode.cpp']",0.461538461538462,9,32,2,winyl-master,music
23,55,23,7,29,0,7.82608695652174,4,0,0,2,SkinListNode,180,"['Winyl/src/SkinListNode.h', 'Winyl/src/SkinListNode.cpp']",0.521739130434783,32,84,0,winyl-master,music
