analizo_loc,analizo_rfc,analizo_npm,analizo_acc,analizo_dit,analizo_npa,analizo_anpm,analizo_cbo,analizo_mmloc,analizo_accm,analizo_noc,analizo__filename,analizo_noa,analizo__module,folder,analizo_lcom4,type,analizo_nom,analizo_amloc,analizo_sc
48,4,4,2,1,0,1.25,0,34,1.75,0,['robil/C11_Agent/src/C11_HMIResponseServer.hpp'],2,HMIResponseServer,robil,4,external_repositories,4,12,0
1,1,1,1,0,0,0,0,1,1,1,['robil/C11_Agent/src/C11_HMIResponseServer.hpp'],0,IHMIResponseInterface,robil,1,external_repositories,1,1,0
267,21,9,7,1,0,0.777777777777778,3,78,3.77777777777778,0,['robil/C11_Agent/src/C11_PushServer.hpp'],6,PushHMIServer,robil,7,external_repositories,9,29.6666666666667,21
3,3,3,1,0,0,1,0,1,1,1,['robil/C11_Agent/src/C11_PushServer.hpp'],0,IPushHMIInterface,robil,3,external_repositories,3,1,0
308,81,12,0,1,0,1.33333333333333,4,54,2.16666666666667,0,"['robil/C11_Agent/src/C11_TCPServer.h', 'robil/C11_Agent/src/C11_TCPServer.cpp']",14,CTcpServer,robil,1,external_repositories,12,25.6666666666667,4
14,2,2,0,1,0,2,0,9,1.5,0,['robil/C11_Agent/src/C11_UntilOperatorIntervention.hpp'],0,UntilOperatorIntervention,robil,2,external_repositories,2,7,0
208,25,6,0,0,9,1.83333333333333,1,65,2.5,0,['robil/C11_Agent/src/C11_agent_st.cpp'],9,C11_agent_st,robil,3,external_repositories,6,34.6666666666667,3
54,19,5,0,0,0,2,5,34,1,0,"['robil/C11_Agent/src/C11_structs.cpp', 'robil/C11_Agent/src/C11_structs.h']",0,C11_structs,robil,5,external_repositories,5,10.8,25
0,0,0,1,0,2,0,0,0,0,0,"['robil/C11_Agent/src/C11_structs.h', 'robil/C11_Agent/src/C11_structs.cpp']",2,StructImage,robil,0,external_repositories,0,0,0
0,0,0,1,0,2,0,0,0,0,0,"['robil/C11_Agent/src/C11_structs.h', 'robil/C11_Agent/src/C11_structs.cpp']",2,StructGrid,robil,0,external_repositories,0,0,0
0,0,0,2,0,5,0,0,0,0,0,"['robil/C11_Agent/src/C11_structs.h', 'robil/C11_Agent/src/C11_structs.cpp']",5,StructGridData,robil,0,external_repositories,0,0,0
0,0,0,15,0,2,0,0,0,0,0,"['robil/C11_Agent/src/C11_structs.h', 'robil/C11_Agent/src/C11_structs.cpp']",2,StructPoint,robil,0,external_repositories,0,0,0
0,0,0,3,0,3,0,0,0,0,0,"['robil/C11_Agent/src/C11_structs.h', 'robil/C11_Agent/src/C11_structs.cpp']",3,StructOrientation,robil,0,external_repositories,0,0,0
0,0,0,11,0,3,0,0,0,0,0,"['robil/C11_Agent/src/C11_structs.h', 'robil/C11_Agent/src/C11_structs.cpp']",3,StructHeader,robil,0,external_repositories,0,0,0
4,4,1,0,0,0,2,1,4,2,0,['robil/C11_Agent/src/Vec2d.hpp'],0,C11_Agent/src/Vec2d,robil,1,external_repositories,1,4,1
40,73,34,30,0,4,0.911764705882353,1,7,1,0,['robil/C11_Agent/src/Vec2d.hpp'],4,Vec2d,robil,26,external_repositories,34,1.17647058823529,26
0,0,0,1,0,3,0,0,0,0,0,['robil/C11_Agent/src/tinyxml2.cpp'],3,tinyxml2::Entity,robil,0,external_repositories,0,0,0
0,0,0,0,0,14,0,0,0,0,0,"['robil/C11_Agent/src/tinyxml2.cpp', 'robil/C11_Agent/src/tinyxml2.h']",14,tinyxml2,robil,0,external_repositories,0,0,0
338,108,31,14,1,0,0.848484848484849,5,73,1.72727272727273,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",11,tinyxml2::XMLDocument,robil,11,external_repositories,33,10.2424242424242,55
6,6,6,6,0,0,0.166666666666667,0,1,1,1,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",0,tinyxml2::MemPool,robil,6,external_repositories,6,1,0
52,55,17,0,0,0,0.470588235294118,2,4,1,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",1,tinyxml2::XMLHandle,robil,1,external_repositories,17,3.05882352941176,2
137,74,19,19,0,0,0.64,3,26,1.32,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",4,tinyxml2::XMLAttribute,robil,6,external_repositories,25,5.48,18
55,12,11,6,0,0,0.416666666666667,0,12,1,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",4,tinyxml2::DynArray,robil,12,external_repositories,12,4.58333333333333,0
58,9,9,0,1,0,0.222222222222222,0,23,1,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",6,tinyxml2::MemPoolT,robil,9,external_repositories,9,6.44444444444444,0
52,55,17,0,0,0,0.470588235294118,2,4,1,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",1,tinyxml2::XMLConstHandle,robil,1,external_repositories,17,3.05882352941176,2
244,33,20,47,0,0,2.1,1,76,2.65,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",0,tinyxml2::XMLUtil,robil,13,external_repositories,20,12.2,13
0,0,0,0,0,2,0,0,0,0,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",2,tinyxml2::MemPoolT::Chunk,robil,0,external_repositories,0,0,0
25,9,9,7,0,0,1,0,3,1,1,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",0,tinyxml2::XMLVisitor,robil,9,external_repositories,9,2.77777777777778,0
56,29,7,2,1,0,0.818181818181818,5,26,1.54545454545455,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",1,tinyxml2::XMLText,robil,8,external_repositories,11,5.09090909090909,40
38,20,5,0,1,0,0.888888888888889,5,11,1.22222222222222,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",0,tinyxml2::XMLUnknown,robil,9,external_repositories,9,4.22222222222222,45
260,119,29,74,0,0,0.617647058823529,6,77,1.70588235294118,6,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",8,tinyxml2::XMLNode,robil,12,external_repositories,34,7.64705882352941,72
379,175,38,8,1,0,1.27272727272727,8,55,2.09090909090909,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",2,tinyxml2::XMLElement,robil,12,external_repositories,44,8.61363636363636,96
180,41,9,18,0,0,0.909090909090909,2,83,3.18181818181818,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",3,tinyxml2::StrPair,robil,2,external_repositories,11,16.3636363636364,4
0,0,0,0,0,1,0,0,0,0,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",1,tinyxml2::MemPoolT::Block,robil,0,external_repositories,0,0,0
321,152,29,0,1,0,1.18181818181818,8,36,2,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",11,tinyxml2::XMLPrinter,robil,3,external_repositories,33,9.72727272727273,24
37,20,5,0,1,0,0.888888888888889,5,10,1.22222222222222,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",0,tinyxml2::XMLComment,robil,9,external_repositories,9,4.11111111111111,45
38,20,5,0,1,0,0.888888888888889,5,10,1.22222222222222,0,"['robil/C11_Agent/src/tinyxml2.h', 'robil/C11_Agent/src/tinyxml2.cpp']",0,tinyxml2::XMLDeclaration,robil,9,external_repositories,9,4.22222222222222,45
279,47,17,2,1,0,1.17647058823529,5,40,1.94117647058824,0,"['robil/C11_OperatorControl/src/C11_Node.h', 'robil/C11_OperatorControl/src/C11_Node.cpp']",21,C11_Node,robil,10,external_repositories,17,16.4117647058824,50
2,2,2,1,0,0,0.5,0,1,1,1,['robil/C11_OperatorControl/src/C11_Node_Subscriber.h'],0,IC11_Node_Subscriber,robil,2,external_repositories,2,1,0
207,52,7,2,1,0,0.833333333333333,2,55,2,0,"['robil/C11_OperatorControl/src/arcitem.h', 'robil/C11_OperatorControl/src/arcitem.cpp']",6,CArcItem,robil,3,external_repositories,12,17.25,6
170,35,10,1,1,0,1.18181818181818,0,43,1.81818181818182,0,"['robil/C11_OperatorControl/src/graphicsview.h', 'robil/C11_OperatorControl/src/graphicsview.cpp']",5,CGraphicsView,robil,2,external_repositories,11,15.4545454545455,0
254,67,15,0,1,0,1.4375,9,85,1.9375,0,"['robil/C11_OperatorControl/src/imagedraw.h', 'robil/C11_OperatorControl/src/imagedraw.cpp']",11,ImageDraw,robil,3,external_repositories,16,15.875,27
98,49,14,17,1,0,0.928571428571429,2,20,1.35714285714286,0,['robil/C11_OperatorControl/src/lineItemlist.h'],6,CLineItemList,robil,4,external_repositories,14,7,8
145,73,20,17,1,0,0.85,2,14,1.1,0,"['robil/C11_OperatorControl/src/lineitem.h', 'robil/C11_OperatorControl/src/lineitem.cpp']",6,CLineItem,robil,4,external_repositories,20,7.25,8
13,1,1,0,0,0,2,0,13,2,0,['robil/C11_OperatorControl/src/main.cpp'],0,C11_OperatorControl/src/main,robil,1,external_repositories,1,13,0
0,0,0,9,0,4,0,0,0,0,0,"['robil/C11_OperatorControl/src/mapmain.cpp', 'robil/C11_OperatorControl/src/mapmain.h']",4,mapmain,robil,0,external_repositories,0,0,0
0,0,0,2,0,2,0,0,0,0,0,"['robil/C11_OperatorControl/src/mapmain.h', 'robil/C11_OperatorControl/src/mapmain.cpp']",2,sItemPressed,robil,0,external_repositories,0,0,0
976,326,21,0,1,0,0.952380952380952,15,81,3.57142857142857,0,"['robil/C11_OperatorControl/src/mapmain.h', 'robil/C11_OperatorControl/src/mapmain.cpp']",36,CMapMain,robil,1,external_repositories,42,23.2380952380952,15
9,2,2,0,1,0,0.5,0,5,1,0,"['robil/C11_OperatorControl/src/mapwidget.h', 'robil/C11_OperatorControl/src/mapwidget.cpp']",0,CMapWidget,robil,2,external_repositories,2,4.5,0
0,0,0,0,0,2,0,0,0,0,0,['robil/C11_OperatorControl/src/pixitem.cpp'],2,pixitem,robil,0,external_repositories,0,0,0
77,13,5,1,1,0,1.33333333333333,0,45,2.16666666666667,0,"['robil/C11_OperatorControl/src/pixitem.h', 'robil/C11_OperatorControl/src/pixitem.cpp']",4,CPixItem,robil,2,external_repositories,6,12.8333333333333,0
69,38,11,19,1,0,0.909090909090909,1,9,1,0,"['robil/C11_OperatorControl/src/pointitem.h', 'robil/C11_OperatorControl/src/pointitem.cpp']",5,CPointItem,robil,2,external_repositories,11,6.27272727272727,2
0,0,0,47,0,1,0,0,0,0,0,['robil/C11_OperatorControl/src/polygonitem.cpp'],1,polygonitem,robil,0,external_repositories,0,0,0
28,9,4,0,1,0,1.5,1,13,1.25,0,"['robil/C11_OperatorControl/src/polygonitem.h', 'robil/C11_OperatorControl/src/polygonitem.cpp']",2,CPolygonItem,robil,3,external_repositories,4,7,3
26,7,5,0,1,0,1.2,0,9,1,0,"['robil/C11_OperatorControl/src/robotdataitem.h', 'robil/C11_OperatorControl/src/robotdataitem.cpp']",1,CRobotDataItem,robil,4,external_repositories,5,5.2,0
425,160,19,13,1,0,1,4,56,2.88,0,"['robil/C11_OperatorControl/src/routeitem.h', 'robil/C11_OperatorControl/src/routeitem.cpp']",8,CRouteItem,robil,2,external_repositories,25,17,8
36,4,4,0,1,0,1,0,24,1.5,0,"['robil/C11_OperatorControl/src/scaleitem.h', 'robil/C11_OperatorControl/src/scaleitem.cpp']",0,CScaleItem,robil,4,external_repositories,4,9,0
0,0,0,0,0,0,0,0,0,0,0,"['robil/C11_OperatorControl/src/structs.h', 'robil/C11_OperatorControl/src/structs.cpp']",0,structs,robil,0,external_repositories,0,0,0
0,0,0,6,0,2,0,0,0,0,0,"['robil/C11_OperatorControl/src/structs.h', 'robil/C11_OperatorControl/src/structs.cpp']",2,StructIntPoint,robil,0,external_repositories,0,0,0
38,3,3,1,1,0,1,0,22,1.33333333333333,0,"['robil/C11_OperatorControl/src/tcpConnection.h', 'robil/C11_OperatorControl/src/tcpConnection.cpp']",13,CTcpConnection,robil,3,external_repositories,3,12.6666666666667,0
10,10,10,1,0,0,1.7,0,1,1,1,"['robil/C11_OperatorControl/src/tcpConnection.h', 'robil/C11_OperatorControl/src/tcpConnection.cpp']",0,ITcpConnectionInterface,robil,10,external_repositories,10,1,0
0,0,0,4,0,1,0,0,0,0,0,['robil/C11_OperatorControl/src/traingleitem.cpp'],1,traingleitem,robil,0,external_repositories,0,0,0
40,23,7,1,1,0,1.14285714285714,4,10,1,0,"['robil/C11_OperatorControl/src/traingleitem.h', 'robil/C11_OperatorControl/src/traingleitem.cpp']",3,CtraingleItem,robil,4,external_repositories,7,5.71428571428571,16
34,1,1,0,0,0,2,0,34,4,0,['robil/C21_VisionAndLidar/src/C21ImageServiceTest.cpp'],0,C21ImageServiceTest,robil,1,external_repositories,1,34,0
42,10,4,7,0,2,1.75,0,20,1.5,0,['robil/C21_VisionAndLidar/src/C21ImageTest.cpp'],2,C21ImageTest,robil,1,external_repositories,4,10.5,0
49,1,1,0,0,0,2,0,49,5,0,['robil/C21_VisionAndLidar/src/C21PanoramaTest.cpp'],0,C21PanoramaTest,robil,1,external_repositories,1,49,0
50,3,2,0,0,0,1.5,0,40,2,0,['robil/C21_VisionAndLidar/src/C21SceneTest.cpp'],0,C21SceneTest,robil,1,external_repositories,2,25,0
375,24,11,0,0,0,1.72727272727273,2,120,3.36363636363636,0,['robil/C21_VisionAndLidar/src/C21_Node.cpp'],42,C21_Node,robil,3,external_repositories,11,34.0909090909091,6
58,17,3,2,0,14,3,1,35,3.33333333333333,0,['robil/C21_VisionAndLidar/src/C21_ObjectLocationTest.cpp'],14,C21_ObjectLocationTest,robil,2,external_repositories,3,19.3333333333333,2
61,15,2,0,0,0,1,2,50,2.5,0,['robil/C21_VisionAndLidar/src/C21_ObjectLocationTest.cpp'],9,CloudFetch,robil,1,external_repositories,2,30.5,2
0,0,0,0,0,0,0,0,0,0,0,['robil/C21_VisionAndLidar/src/resolution.h'],0,resolution,robil,0,external_repositories,0,0,0
9,2,1,121,0,4,2,0,9,1,0,['robil/C22_CompactGroundRecognitionAndMapping/src/C22_Node.cpp'],4,C22_CompactGroundRecognitionAndMapping/src/C22_Node,robil,1,external_repositories,1,9,0
144,63,7,0,0,0,1.71428571428571,3,138,2.42857142857143,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/C22_Node.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/C22_Node.cpp']",16,C22_Node,robil,3,external_repositories,7,20.5714285714286,9
9,2,1,1,0,4,2,0,9,1,0,['robil/C22_CompactGroundRecognitionAndMapping/src/C22_NodeCheat.cpp'],4,C22_CompactGroundRecognitionAndMapping/src/C22_NodeCheat,robil,1,external_repositories,1,9,0
51,1,1,0,0,0,2,0,51,11,0,['robil/C22_CompactGroundRecognitionAndMapping/src/C22_Test.cpp'],0,C22_CompactGroundRecognitionAndMapping/src/C22_Test,robil,1,external_repositories,1,51,0
0,0,0,1,0,1,0,0,0,0,0,['robil/C22_CompactGroundRecognitionAndMapping/src/MPlane.cpp'],1,C22_CompactGroundRecognitionAndMapping/src/MPlane,robil,0,external_repositories,0,0,0
14,26,7,1,0,7,0.428571428571429,1,8,1.57142857142857,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/MPlane.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/MPlane.cpp']",7,MPlane,robil,3,external_repositories,7,2,3
0,0,0,8,0,5,0,0,0,0,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/MapMatrix.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/MapMatrix.cpp']",5,C22_CompactGroundRecognitionAndMapping/src/MapMatrix,robil,0,external_repositories,0,0,0
169,40,9,4,0,5,1.09090909090909,4,118,3.09090909090909,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/MapMatrix.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/MapMatrix.cpp']",5,MapMatrix,robil,11,external_repositories,11,15.3636363636364,44
32,31,10,1,0,5,0.4,0,11,1.5,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/MapSquare.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/MapSquare.cpp']",5,MapSquare,robil,1,external_repositories,10,3.2,0
0,0,0,0,0,0,0,0,0,0,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/MapSquare.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/MapSquare.cpp']",0,C22_CompactGroundRecognitionAndMapping/src/MapSquare,robil,0,external_repositories,0,0,0
4,7,4,2,0,2,0.5,0,1,1,0,"['robil/C22_CompactGroundRecognitionAndMapping/src/pclPlane.h', 'robil/C22_CompactGroundRecognitionAndMapping/src/pclPlane.cpp']",2,pclPlane,robil,3,external_repositories,4,1,0
9,2,1,0,0,4,2,1,9,1,0,['robil/C22_GroundRecognitionAndMapping/src/C22_Node.cpp'],4,C22_GroundRecognitionAndMapping/src/C22_Node,robil,1,external_repositories,1,9,1
9,2,1,0,0,4,2,1,9,1,0,['robil/C22_GroundRecognitionAndMapping/src/C22_NodeCheat.cpp'],4,C22_GroundRecognitionAndMapping/src/C22_NodeCheat,robil,1,external_repositories,1,9,1
60,1,1,0,0,0,2,0,60,13,0,['robil/C22_GroundRecognitionAndMapping/src/C22_Test.cpp'],0,C22_GroundRecognitionAndMapping/src/C22_Test,robil,1,external_repositories,1,60,0
0,0,0,0,0,1,0,0,0,0,0,['robil/C22_GroundRecognitionAndMapping/src/MPlane.cpp'],1,C22_GroundRecognitionAndMapping/src/MPlane,robil,0,external_repositories,0,0,0
0,0,0,0,0,5,0,0,0,0,0,"['robil/C22_GroundRecognitionAndMapping/src/MapMatrix.h', 'robil/C22_GroundRecognitionAndMapping/src/MapMatrix.cpp']",5,C22_GroundRecognitionAndMapping/src/MapMatrix,robil,0,external_repositories,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['robil/C22_GroundRecognitionAndMapping/src/MapSquare.h', 'robil/C22_GroundRecognitionAndMapping/src/MapSquare.cpp']",0,C22_GroundRecognitionAndMapping/src/MapSquare,robil,0,external_repositories,0,0,0
9,2,1,0,0,4,2,1,9,1,0,['robil/C22_GroundRecognitionAndMapping/src/backup/C22_Node.cpp'],4,C22_GroundRecognitionAndMapping/src/backup/C22_Node,robil,1,external_repositories,1,9,1
0,0,0,0,0,0,0,0,0,0,0,['robil/C22_transformations/include/C22_transformations/MapTransformations.h'],0,MapTransformations,robil,0,external_repositories,0,0,0
13,11,4,4,0,4,1.5,0,6,1,0,['robil/C22_transformations/include/C22_transformations/MapTransformations.h'],4,C22_transform::MapProperties,robil,3,external_repositories,4,3.25,0
54,42,10,4,0,0,3.3,2,14,1.2,0,['robil/C22_transformations/include/C22_transformations/MapTransformations.h'],1,C22_transform,robil,3,external_repositories,10,5.4,6
4,4,1,0,0,0,2,1,4,2,0,['robil/C22_transformations/include/C22_transformations/Vec2d.hpp'],0,C22_transformations/include/C22_transformations/Vec2d,robil,1,external_repositories,1,4,1
16,1,1,0,0,0,2,0,16,1,0,['robil/C22_transformations/src/example.cpp'],0,example,robil,1,external_repositories,1,16,0
0,0,0,0,0,2,0,0,0,0,0,['robil/C22_transformations/src/example.cpp'],2,XY,robil,0,external_repositories,0,0,0
9,4,1,0,0,3,2,0,9,1,0,['robil/C23_ObjectRecognition/build_bak/CMakeFiles/CompilerIdC/CMakeCCompilerId.c'],3,CMakeCCompilerId,robil,1,external_repositories,1,9,0
8,3,1,0,0,3,2,0,8,1,0,['robil/C23_ObjectRecognition/build_bak/CMakeFiles/CompilerIdCXX/CMakeCXXCompilerId.cpp'],3,CMakeCXXCompilerId,robil,1,external_repositories,1,8,0
17,1,1,0,0,0,2,0,17,2,0,['robil/C23_ObjectRecognition/src/C23.cpp'],0,C23,robil,1,external_repositories,1,17,0
0,0,0,4,0,2,0,0,0,0,0,['robil/C23_ObjectRecognition/src/C23_Detector.cpp'],2,TemplateAlignment::Result,robil,0,external_repositories,0,0,0
63,26,7,2,0,0,0.857142857142857,2,23,1.42857142857143,0,['robil/C23_ObjectRecognition/src/C23_Detector.cpp'],6,TemplateAlignment,robil,2,external_repositories,7,9,4
55,28,7,4,0,0,0.2,0,11,1,0,['robil/C23_ObjectRecognition/src/C23_Detector.cpp'],6,FeatureCloud,robil,3,external_repositories,10,5.5,0
3447,268,6,1,0,23,3.58823529411765,7,418,8.55882352941176,0,"['robil/C23_ObjectRecognition/src/C23_Detector.cpp', 'robil/C23_ObjectRecognition/src/C23_Detector.hpp']",41,C23_Detector,robil,1,external_repositories,34,101.382352941176,7
12,1,1,2,0,0,2,0,12,2,0,['robil/C23_ObjectRecognition/src/C23_Tasks.cpp'],0,C23_Tasks,robil,1,external_repositories,1,12,0
85,4,2,0,1,0,2,2,77,6.5,0,['robil/C23_ObjectRecognition/src/C23_Tasks.cpp'],5,C23_SearchObject,robil,2,external_repositories,2,42.5,4
32,3,2,0,1,0,2,1,26,2.5,0,['robil/C23_ObjectRecognition/src/C23_Tasks.cpp'],1,C23_TrackObject,robil,2,external_repositories,2,16,2
16,2,2,0,1,0,2,0,11,1.5,0,['robil/C23_ObjectRecognition/src/C23_Tasks.cpp'],1,C23_TakePicture,robil,2,external_repositories,2,8,0
204,5,3,2,0,14,0.666666666666667,1,138,8.66666666666667,0,"['robil/C23_ObjectRecognition/src/GeneralDetector.hpp', 'robil/C23_ObjectRecognition/src/GeneralDetector.cpp']",14,GeneralDetector,robil,3,external_repositories,3,68,3
86,9,1,0,0,0,2,3,86,5,0,['robil/C23_ObjectRecognition/src/test.cpp'],0,test,robil,1,external_repositories,1,86,3
80,18,5,0,0,2,1.8,0,39,2.8,0,['robil/C24_ObstacleDetection/src/C24_Node.cpp'],7,C24_Node,robil,1,external_repositories,5,16,0
44,1,1,0,0,0,2,0,44,9,0,['robil/C24_ObstacleDetection/src/C24_Test.cpp'],0,C24_Test,robil,1,external_repositories,1,44,0
27,2,2,0,1,0,1.5,0,22,2,0,['robil/C24_ObstacleDetection/src/ObstacleDetectionServer.hpp'],0,ObstacleDetectionServer,robil,2,external_repositories,2,13.5,0
174,16,9,0,0,0,1.77777777777778,0,37,1.88888888888889,0,['robil/C25_GlobalPosition/src/C25_Node.cpp'],27,C25_Node,robil,2,external_repositories,9,19.3333333333333,0
95,32,6,11,0,10,1.83333333333333,2,36,2.66666666666667,0,['robil/C25_GlobalPosition/src/C25_objectTest.cpp'],15,C25_objectTest,robil,1,external_repositories,6,15.8333333333333,2
30,1,1,0,0,0,2,0,30,2,0,['robil/C25_GlobalPosition/src/C25_test.cpp'],0,C25_test,robil,1,external_repositories,1,30,0
27,2,2,0,1,0,1.5,0,22,2,0,['robil/C25_GlobalPosition/src/LocalizationTrackServer.hpp'],0,LocalizationTrackServer,robil,2,external_repositories,2,13.5,0
47,7,4,0,1,0,0.5,1,25,2.25,0,['robil/C25_ekf/include/C25_ekf/nonlinearanalyticconditionalgaussianodo.h'],1,BFL::NonLinearAnalyticConditionalGaussianOdo,robil,3,external_repositories,4,11.75,3
251,74,11,5,0,0,2.28571428571429,1,135,3,0,['robil/C25_ekf/include/C25_ekf/odom_estimation.h'],30,estimation::OdomEstimation,robil,6,external_repositories,14,17.9285714285714,6
12,1,1,0,0,1,2,0,12,1,0,"['robil/C25_ekf/include/C25_ekf/odom_estimation_node.h', 'robil/C25_ekf/src/odom_estimation_node.cpp']",1,odom_estimation_node,robil,1,external_repositories,1,12,0
337,126,2,0,0,0,0.857142857142857,2,78,7.85714285714286,0,['robil/C25_ekf/include/C25_ekf/odom_estimation_node.h'],52,estimation::OdomEstimationNode,robil,1,external_repositories,7,48.1428571428571,2
0,0,0,0,0,0,0,0,0,0,0,['robil/C25_ekf/src/nonlinearanalyticconditionalgaussianodo.cpp'],0,nonlinearanalyticconditionalgaussianodo,robil,0,external_repositories,0,0,0
46,9,2,1,1,10,0.333333333333333,1,13,1.5,0,['robil/C25_ekf/test/test_robot_pose_ekf.cpp'],10,TestEKF,robil,4,external_repositories,6,7.66666666666667,4
