,agent_type,auc,f1_score,feature_importance,fpr,model,model_name,tpr,type_class,feature rank
11,agent,0.7740384615384616,0.3333333333333333,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01282051 0.16666667 0.19230769 0.42307692 0.42307692
 0.57692308 0.57692308 0.67948718 0.67948718 0.78205128 0.78205128
 0.83333333 0.83333333 0.93589744 0.93589744 0.97435897 0.97435897
 0.98717949 0.98717949 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.    0.    0.    0.    0.    0.125 0.125 0.25  0.25  0.375 0.375 0.5
 0.5   0.625 0.625 0.75  0.75  0.875 0.875 1.    1.   ]",Chess,"['analizo_accm_mean', 'analizo_noc_mean', 'analizo_nom_mean', 'analizo_rfc_mean', 'analizo_npa_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_mmloc_mean']"
0,agent,0.9212860310421286,0.6956521739130435,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01219512 0.08536585 0.1097561  0.6097561  0.6097561
 0.74390244 0.74390244 0.90243902 0.90243902 0.96341463 0.96341463
 0.96341463 0.98780488 0.98780488 1.         1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.         0.         0.09090909
 0.09090909 0.18181818 0.18181818 0.27272727 0.27272727 0.45454545
 0.54545455 0.54545455 0.63636364 0.63636364 1.        ]",Robocup-2D,"['analizo_accm_mean', 'analizo_mmloc_mean', 'analizo_noa_mean', 'analizo_rfc_mean', 'analizo_nom_mean', 'analizo_noc_mean', 'analizo_acc_mean', 'analizo_dit_mean', 'analizo_cbo_mean', 'analizo_amloc_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_anpm_mean']"
1,Robot,0.9369202226345084,0.4444444444444445,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01298701 0.75324675 0.75324675 0.88311688 0.88311688
 0.94805195 0.94805195 0.98701299 0.98701299 1.         1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 0.71428571 0.71428571 1.        ]",Robcup-Other-Leagues,"['analizo_amloc_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_mmloc_mean', 'analizo_npm_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_dit_mean', 'analizo_accm_mean', 'analizo_acc_mean', 'analizo_rfc_mean']"
12,agent,0.9924999999999999,0.7272727272727272,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.     0.0125 0.125  0.15   0.7875 0.8125 0.975  0.975  0.9875 0.9875
 1.     1.    ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,[0.  0.  0.  0.  0.  0.  0.  0.2 0.2 0.4 0.4 1. ],Anac,"['analizo_accm_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_nom_mean', 'analizo_lcom4_mean', 'analizo_noc_mean', 'analizo_rfc_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_mmloc_mean']"
0,agent,,0.3125,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robocup-2D,"['analizo_anpm_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_accm_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_dit_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_acc_mean', 'analizo_mmloc_mean', 'analizo_sc_mean']"
1,Robot,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robcup-Other-Leagues,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_nom_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_sc_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_noc_mean', 'analizo_noa_mean']"
2,non-agent,,0.20512820512820512,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Security,"['analizo_accm_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_lcom4_mean', 'analizo_acc_mean', 'analizo_noa_mean', 'analizo_mmloc_mean', 'analizo_cbo_mean', 'analizo_rfc_mean', 'analizo_npm_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_sc_mean', 'analizo_noc_mean']"
3,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Mobile,"['analizo_cbo_mean', 'analizo_mmloc_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean', 'analizo_rfc_mean', 'analizo_accm_mean', 'analizo_acc_mean', 'analizo_noa_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_dit_mean']"
4,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Ide,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_dit_mean', 'analizo_anpm_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean']"
5,non-agent,,0.28571428571428575,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Finance,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_acc_mean', 'analizo_dit_mean', 'analizo_amloc_mean', 'analizo_rfc_mean', 'analizo_noc_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_mmloc_mean', 'analizo_sc_mean', 'analizo_noa_mean']"
6,non-agent,,0.21978021978021975,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Education,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_npm_mean', 'analizo_dit_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_mmloc_mean', 'analizo_nom_mean', 'analizo_rfc_mean', 'analizo_lcom4_mean', 'analizo_noc_mean', 'analizo_sc_mean', 'analizo_anpm_mean']"
7,non-agent,,0.13333333333333333,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Games,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_noa_mean', 'analizo_noc_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_sc_mean']"
8,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Graphics,"['analizo_accm_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_cbo_mean', 'analizo_noa_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean', 'analizo_noc_mean']"
9,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robot-Simulation,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_acc_mean', 'analizo_rfc_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_mmloc_mean']"
10,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Audio,"['analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_sc_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean', 'analizo_acc_mean', 'analizo_npm_mean', 'analizo_accm_mean']"
11,agent,,0.2,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Chess,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_amloc_mean', 'analizo_dit_mean', 'analizo_cbo_mean', 'analizo_sc_mean', 'analizo_noc_mean', 'analizo_acc_mean', 'analizo_noa_mean', 'analizo_mmloc_mean']"
12,agent,,0.22222222222222224,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Anac,"['analizo_accm_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_lcom4_mean', 'analizo_cbo_mean', 'analizo_amloc_mean', 'analizo_acc_mean', 'analizo_dit_mean', 'analizo_nom_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_mmloc_mean']"
13,Robot,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robo-Projects,"['analizo_accm_mean', 'analizo_amloc_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_dit_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_acc_mean', 'analizo_mmloc_mean', 'analizo_sc_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_npm_mean', 'analizo_noc_mean', 'analizo_nom_mean']"
8,non-agent,0.2423025435073628,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01204819 0.02409639 0.02409639 0.03614458 0.04819277
 0.09638554 0.09638554 0.19277108 0.19277108 0.20481928 0.20481928
 0.36144578 0.36144578 0.37349398 0.39759036 0.48192771 0.4939759
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.33333333 0.33333333 0.44444444 0.44444444 0.55555556
 0.55555556 0.66666667 0.66666667 0.88888889 0.88888889 1.
 1.        ]",Graphics,"['analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_noa_mean', 'analizo_acc_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_sc_mean', 'analizo_accm_mean']"
10,non-agent,0.3580246913580247,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01234568 0.0617284  0.0617284  0.13580247 0.13580247
 0.14814815 0.14814815 0.2962963  0.2962963  0.37037037 0.37037037
 0.4691358  0.4691358  0.48148148 0.54320988 0.54320988 0.77777778
 0.79012346 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.  0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 0.9 0.9
 1.  1. ]",Audio,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_nom_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_lcom4_mean', 'analizo_mmloc_mean', 'analizo_cbo_mean', 'analizo_accm_mean']"
