,competition,year,team
492,ChinaOpens,2006,seu
493,ChinaOpens,2006,shu2006
494,ChinaOpens,2006,strive
495,ChinaOpens,2006,superstar
496,ChinaOpens,2006,toofan2006
497,ChinaOpens,2006,we2006
498,ChinaOpens,2006,wust
499,ChinaOpens,2006,yunlu
500,ChinaOpens,2006,zjubase
501,ChinaOpens,2006,zzjyxyfs
584,ChinaOpens,2007,ahua
586,ChinaOpens,2007,baibuti
587,ChinaOpens,2007,bjut
588,ChinaOpens,2007,calm2d
589,ChinaOpens,2007,chuguo
590,ChinaOpens,2007,cug
594,ChinaOpens,2007,everest
595,ChinaOpens,2007,everest2007
596,ChinaOpens,2007,jet
598,ChinaOpens,2007,njuptap0l1o
599,ChinaOpens,2007,qzextenrc07
600,ChinaOpens,2007,robocupcin
601,ChinaOpens,2007,robotoos
602,ChinaOpens,2007,samin
603,ChinaOpens,2007,shootingstarwithfire
604,ChinaOpens,2007,shootingstarwithfire1
605,ChinaOpens,2007,shu
607,ChinaOpens,2007,superstar
609,ChinaOpens,2007,tiji
612,ChinaOpens,2007,willeye
613,ChinaOpens,2007,wust2007
681,ChinaOpens,2008,bjut
682,ChinaOpens,2008,cumt
683,ChinaOpens,2008,czu
685,ChinaOpens,2008,dreamwing
686,ChinaOpens,2008,dreamwing08
689,ChinaOpens,2008,everest
690,ChinaOpens,2008,firecore
691,ChinaOpens,2008,gear2d
693,ChinaOpens,2008,jmu
694,ChinaOpens,2008,pasargadae
695,ChinaOpens,2008,qzextenrc07
696,ChinaOpens,2008,qzextenrc08
697,ChinaOpens,2008,star
699,ChinaOpens,2008,strong
700,ChinaOpens,2008,tiji
701,ChinaOpens,2008,tjnu
702,ChinaOpens,2008,we2008
810,ChinaOpens,2009,amoiensisnq
811,ChinaOpens,2009,apollo
812,ChinaOpens,2009,aua2009
813,ChinaOpens,2009,bityphoon
814,ChinaOpens,2009,dreamwing
815,ChinaOpens,2009,eskilas
816,ChinaOpens,2009,gdut2009
817,ChinaOpens,2009,hfutengine
818,ChinaOpens,2009,miracle
819,ChinaOpens,2009,nedu
820,ChinaOpens,2009,robosampad
821,ChinaOpens,2009,scnu
822,ChinaOpens,2009,shahedtech
823,ChinaOpens,2009,sky
824,ChinaOpens,2009,tjnu
825,ChinaOpens,2009,we2009
826,ChinaOpens,2009,wolfmountain
827,ChinaOpens,2009,yunlu
828,ChinaOpens,2009,yushan
1015,ChinaOpens,2011,yunlu
1061,ChinaOpens,2012,hfutegine
502,DutchOpens,2006,brainstormers06
503,DutchOpens,2006,fcportugal
504,DutchOpens,2006,humboldt
505,DutchOpens,2006,seu
1073,DutchOpens,2012,fcportugal
1074,DutchOpens,2012,gliders2012
1075,DutchOpens,2012,marlik
1076,DutchOpens,2012,nadco
1077,DutchOpens,2012,riton
704,Exercise,2008,amoynq
705,Exercise,2008,brainstormers08
706,Exercise,2008,cat
707,Exercise,2008,czu
708,Exercise,2008,dreamwing
709,Exercise,2008,engine
710,Exercise,2008,feb29
711,Exercise,2008,george
712,Exercise,2008,ggfuji
713,Exercise,2008,helios2008
714,Exercise,2008,jmu
715,Exercise,2008,kealyn
716,Exercise,2008,nemesis
717,Exercise,2008,oxsy
718,Exercise,2008,robofun
719,Exercise,2008,sky
720,Exercise,2008,strive
721,Exercise,2008,terminators
722,Exercise,2008,we2008
321,FIIT,2004,dreamteam
322,FIIT,2004,eaters
323,FIIT,2004,granko
324,FIIT,2004,huxol
325,FIIT,2004,kopacka
326,FIIT,2004,lastunited
327,FIIT,2004,lastunited2
328,FIIT,2004,lastutd
329,FIIT,2004,mangoteam
330,FIIT,2004,sklo
331,FIIT,2004,stjupitdox
199,GermanOpens,2003,brainstormers03
200,GermanOpens,2003,trilearn
411,GermanOpens,2005,brainstormers05
412,GermanOpens,2005,hana
413,GermanOpens,2005,humboldt
414,GermanOpens,2005,kickofftug
415,GermanOpens,2005,persiangulfboys
416,GermanOpens,2005,persiangulfgirls
417,GermanOpens,2005,raga
418,GermanOpens,2005,yowai2005
615,GermanOpens,2007,ath07
616,GermanOpens,2007,brainstormers07
617,GermanOpens,2007,dainamite
618,GermanOpens,2007,fcportugal2007
619,GermanOpens,2007,kickofftug
723,GermanOpens,2008,bahia2d
724,GermanOpens,2008,brainstormers08
725,GermanOpens,2008,dainamite
726,GermanOpens,2008,humboldt
727,GermanOpens,2008,kickofftug
915,GermanOpens,2010,brainstormers
916,GermanOpens,2010,fcportugal
917,GermanOpens,2010,griffins
918,GermanOpens,2010,kickofftug
919,GermanOpens,2010,nemesisrc09
506,IranOpens,2006,actu
507,IranOpens,2006,erfan
508,IranOpens,2006,iustb2d
509,IranOpens,2006,jet
510,IranOpens,2006,mersad
511,IranOpens,2006,miaad
512,IranOpens,2006,nemesis
513,IranOpens,2006,parsian
514,IranOpens,2006,persis
515,IranOpens,2006,reality
516,IranOpens,2006,robopars
517,IranOpens,2006,seu
518,IranOpens,2006,shahed2006
519,IranOpens,2006,toofan
520,IranOpens,2006,vtech
728,IranOpens,2008,azarakhsh
729,IranOpens,2008,blue
730,IranOpens,2008,engine
731,IranOpens,2008,epsilon2d
732,IranOpens,2008,hero
733,IranOpens,2008,ikiu
734,IranOpens,2008,knights
735,IranOpens,2008,marlik08
736,IranOpens,2008,nemesis
737,IranOpens,2008,nexusalpha
738,IranOpens,2008,nexusbeta
739,IranOpens,2008,parmida
740,IranOpens,2008,pasargad
741,IranOpens,2008,persiangulf
742,IranOpens,2008,robotoos
743,IranOpens,2008,samin
744,IranOpens,2008,scorpius
745,IranOpens,2008,spam
746,IranOpens,2008,strangers
747,IranOpens,2008,strive
748,IranOpens,2008,ucna
920,IranOpens,2010,.rcl
921,IranOpens,2010,aboualisina
922,IranOpens,2010,apollo2010
923,IranOpens,2010,eskilas
924,IranOpens,2010,fabulous
925,IranOpens,2010,grcg
926,IranOpens,2010,griffins
927,IranOpens,2010,hfutengine
928,IranOpens,2010,litus
929,IranOpens,2010,marlikindrops
930,IranOpens,2010,persix2010
931,IranOpens,2010,perspolis
932,IranOpens,2010,rcmasters
933,IranOpens,2010,robosalam
934,IranOpens,2010,robosina
935,IranOpens,2010,robotoos2010
936,IranOpens,2010,shahedtech
937,IranOpens,2010,sourena
938,IranOpens,2010,unique
939,IranOpens,2010,united
940,IranOpens,2010,unknown09
941,IranOpens,2010,xenex
1175,IranOpens,2015,apollo2d
1176,IranOpens,2015,armik
1177,IranOpens,2015,artmis
1178,IranOpens,2015,cyrus2015
1179,IranOpens,2015,genius2015
1180,IranOpens,2015,hermes
1181,IranOpens,2015,legendary2015
1182,IranOpens,2015,mars
1183,IranOpens,2015,matrix
1184,IranOpens,2015,miracle2d
1185,IranOpens,2015,nexus2d
1186,IranOpens,2015,phonix
1187,IranOpens,2015,razi
1188,IranOpens,2015,reapers
1189,IranOpens,2015,yushan2015
1210,IranOpens,2016,cyrus
1211,IranOpens,2016,enigma
1212,IranOpens,2016,fury
1213,IranOpens,2016,khayyam
1214,IranOpens,2016,legendary
1215,IranOpens,2016,lightning
1216,IranOpens,2016,miracle2016
1217,IranOpens,2016,mt2016
1218,IranOpens,2016,nexus2d
1219,IranOpens,2016,paydar
1220,IranOpens,2016,qashqai
1221,IranOpens,2016,razicup
1222,IranOpens,2016,riton
1223,IranOpens,2016,shiraz
1224,IranOpens,2016,strt
1225,IranOpens,2016,ziziphus
1245,IranOpens,2017,armistice
1246,IranOpens,2017,cmorq
1247,IranOpens,2017,cmorq2017
1248,IranOpens,2017,crysis
1249,IranOpens,2017,cyrus
1250,IranOpens,2017,goldenhat
1251,IranOpens,2017,gulf
1252,IranOpens,2017,hat
1253,IranOpens,2017,legendary2017
1254,IranOpens,2017,mars
1255,IranOpens,2017,miracle
1256,IranOpens,2017,mt2017
1257,IranOpens,2017,nexus2d
1258,IranOpens,2017,paydar
1259,IranOpens,2017,persiangulf
1260,IranOpens,2017,persiangulf2017
1261,IranOpens,2017,pixel
1262,IranOpens,2017,razi
1263,IranOpens,2017,rcmasterz
1264,IranOpens,2017,sepidrood2017
1265,IranOpens,2017,strt
1266,IranOpens,2017,talash
201,JapanOpens,2003,alecto
202,JapanOpens,2003,anct
203,JapanOpens,2003,calcio
204,JapanOpens,2003,chagamma
205,JapanOpens,2003,delta
206,JapanOpens,2003,fu1484
207,JapanOpens,2003,gemini
208,JapanOpens,2003,hamakou
209,JapanOpens,2003,hana
210,JapanOpens,2003,helios2003
211,JapanOpens,2003,hx2
212,JapanOpens,2003,ikuei
213,JapanOpens,2003,kanchigai
214,JapanOpens,2003,nitsoccer2003
215,JapanOpens,2003,nobisu
216,JapanOpens,2003,nopporoe2
217,JapanOpens,2003,nopporoes2
218,JapanOpens,2003,orange
219,JapanOpens,2003,palm
220,JapanOpens,2003,puppets
221,JapanOpens,2003,shinano
222,JapanOpens,2003,thinkingants
223,JapanOpens,2003,winkit
224,JapanOpens,2003,yahiko
225,JapanOpens,2003,yamaarashi
226,JapanOpens,2003,yowai2003
227,JapanOpens,2003,zeng03
333,JapanOpens,2004,aya
334,JapanOpens,2004,cantona
336,JapanOpens,2004,clark
339,JapanOpens,2004,ikuei
340,JapanOpens,2004,mujina
342,JapanOpens,2004,nopporoes3
343,JapanOpens,2004,puppets
345,JapanOpens,2004,thinkingants
350,JapanOpens,2004,ypt
521,JapanOpens,2006,anct2006
522,JapanOpens,2006,grana06
523,JapanOpens,2006,hana
524,JapanOpens,2006,helios2006
525,JapanOpens,2006,kogaku2006j
526,JapanOpens,2006,ncl06
527,JapanOpens,2006,newhope
528,JapanOpens,2006,nopporoes5
529,JapanOpens,2006,one
530,JapanOpens,2006,opu
531,JapanOpens,2006,puppets
532,JapanOpens,2006,salesio
533,JapanOpens,2006,sit
534,JapanOpens,2006,thinkingants
535,JapanOpens,2006,yowai2006
622,JapanOpens,2007,blinks
623,JapanOpens,2007,blue
624,JapanOpens,2007,bost
625,JapanOpens,2007,hana
627,JapanOpens,2007,hys
628,JapanOpens,2007,kodawariyama
630,JapanOpens,2007,ncl07
632,JapanOpens,2007,obake
636,JapanOpens,2007,opu
637,JapanOpens,2007,puppets
639,JapanOpens,2007,salesio
640,JapanOpens,2007,thinkingan
642,JapanOpens,2007,tsubamegaeshi
749,JapanOpens,2008,.rcl
751,JapanOpens,2008,base
754,JapanOpens,2008,fcpita
755,JapanOpens,2008,fcportugal2007
760,JapanOpens,2008,ncl08
761,JapanOpens,2008,nemesis
767,JapanOpens,2008,one
831,JapanOpens,2009,ncl08
832,JapanOpens,2009,ncl09
833,JapanOpens,2009,nopporoes
834,JapanOpens,2009,nopporoes09
840,JapanOpens,2009,tduthinkingants
842,JapanOpens,2009,uva
942,JapanOpens,2010,.rcl
943,JapanOpens,2010,bost
944,JapanOpens,2010,helios2010
945,JapanOpens,2010,hillrice
946,JapanOpens,2010,hillstone
947,JapanOpens,2010,mmt
948,JapanOpens,2010,ncl10
949,JapanOpens,2010,one
950,JapanOpens,2010,opuci
951,JapanOpens,2010,puppets
952,JapanOpens,2010,raic2010
953,JapanOpens,2010,storms
954,JapanOpens,2010,tduthinkingants
1017,JapanOpens,2011,ants2010
1018,JapanOpens,2011,ants2011
1019,JapanOpens,2011,bost
1020,JapanOpens,2011,bost2011
1028,JapanOpens,2011,rione2011
1030,JapanOpens,2011,thinkingants
1078,JapanOpens,2012,bost
1079,JapanOpens,2012,galaxy
1080,JapanOpens,2012,hillstone
1081,JapanOpens,2012,one
1082,JapanOpens,2012,opuci
1083,JapanOpens,2012,storms
1084,JapanOpens,2012,thinkingants
1085,JapanOpens,2012,toka1
1117,JapanOpens,2013,bost
1118,JapanOpens,2013,hillstone
1119,JapanOpens,2013,one2013
1120,JapanOpens,2013,opuscom
1121,JapanOpens,2013,storms
1122,JapanOpens,2013,thinkingants
1123,JapanOpens,2013,toka1
1031,JapanSpringCompetitions,2011,agent2d
1032,JapanSpringCompetitions,2011,helios2011
1033,JapanSpringCompetitions,2011,hillstone
1034,JapanSpringCompetitions,2011,nayf
1035,JapanSpringCompetitions,2011,one2011
1036,JapanSpringCompetitions,2011,one903
1037,JapanSpringCompetitions,2011,puppets
1038,JapanSpringCompetitions,2011,storms
1039,JapanSpringCompetitions,2011,tsukuba
1149,LARC,2014,reddragons
1154,LARC,2014,warthogrobotics
843,PRIMA,2009,bears
844,PRIMA,2009,eskilas
845,PRIMA,2009,helios2009
846,PRIMA,2009,one
850,PRIMA,2009,radian2009
851,PRIMA,2009,rione
1156,Robotica,2014,energy
1157,Robotica,2014,gpr
1158,Robotica,2014,mt2014
1159,Robotica,2014,nexus2d
536,SimKansai,2006,base
537,SimKansai,2006,bost
538,SimKansai,2006,crew06
539,SimKansai,2006,hana
540,SimKansai,2006,helios2006sk
541,SimKansai,2006,isano
542,SimKansai,2006,okarobo
543,SimKansai,2006,omake
544,SimKansai,2006,opu
545,SimKansai,2006,puppets
546,SimKansai,2006,ribomb06
547,SimKansai,2006,sugarcult
548,SimKansai,2006,yowai06
549,SimKansai,2006,yowai2003
56,SpringCompetitions,2002,.rcl
57,SpringCompetitions,2002,akashi
58,SpringCompetitions,2002,chagamma
59,SpringCompetitions,2002,chonaso
60,SpringCompetitions,2002,dummy
61,SpringCompetitions,2002,fcportugal
62,SpringCompetitions,2002,fctripletta
63,SpringCompetitions,2002,fctripletta2002
64,SpringCompetitions,2002,gemini
65,SpringCompetitions,2002,harmony
66,SpringCompetitions,2002,helios
67,SpringCompetitions,2002,hkume
68,SpringCompetitions,2002,ikuei
69,SpringCompetitions,2002,kufrontier
70,SpringCompetitions,2002,lv00
71,SpringCompetitions,2002,lv10
72,SpringCompetitions,2002,nit
73,SpringCompetitions,2002,nitsisyphus
74,SpringCompetitions,2002,nitsisypus
75,SpringCompetitions,2002,nitstones
76,SpringCompetitions,2002,nopporoes
77,SpringCompetitions,2002,puppets
78,SpringCompetitions,2002,raic
79,SpringCompetitions,2002,swordfish
80,SpringCompetitions,2002,thinkingants
81,SpringCompetitions,2002,yamakasa
82,SpringCompetitions,2002,yamaneko
83,SpringCompetitions,2002,yameneko
84,SpringCompetitions,2002,youronelaw
85,SpringCompetitions,2002,yowai2002
86,SpringCompetitions,2002,zeng02
419,SpringCompetitions,2005,.rcl
420,SpringCompetitions,2005,anct2005
421,SpringCompetitions,2005,chagamma
422,SpringCompetitions,2005,hana
423,SpringCompetitions,2005,kuma
424,SpringCompetitions,2005,nopporoes4
425,SpringCompetitions,2005,puppets
426,SpringCompetitions,2005,raic2005
427,SpringCompetitions,2005,rhona2005
428,SpringCompetitions,2005,takumi2005
429,SpringCompetitions,2005,tokyotech2005
430,SpringCompetitions,2005,wcoach
431,SpringCompetitions,2005,yowai2005
854,SpringCompetitions,2009,after
855,SpringCompetitions,2009,anct2009
856,SpringCompetitions,2009,bost
857,SpringCompetitions,2009,fcpita
858,SpringCompetitions,2009,helios2009
859,SpringCompetitions,2009,kickout
860,SpringCompetitions,2009,mu20
861,SpringCompetitions,2009,okarobo
862,SpringCompetitions,2009,opuci
863,SpringCompetitions,2009,puppets
864,SpringCompetitions,2009,raic09spring
865,SpringCompetitions,2009,robosampad
866,SpringCompetitions,2009,storms09
228,USOpens,2003,amistresao
229,USOpens,2003,aria
230,USOpens,2003,austinvilla
231,USOpens,2003,brainstormers03
232,USOpens,2003,carnegie
233,USOpens,2003,caspian
234,USOpens,2003,coachable
235,USOpens,2003,iranians
236,USOpens,2003,redsky
237,USOpens,2003,robosina
238,USOpens,2003,sfunleashed
239,USOpens,2003,trilearn
240,USOpens,2003,ututd2003
241,USOpens,2003,wahoowun
242,USOpens,2003,zjubase
351,USOpens,2004,utaustinvilla
432,USOpens,2005,borregos
433,USOpens,2005,nuptapollo
434,USOpens,2005,raga2005
435,USOpens,2005,robosina
436,USOpens,2005,undergrads
0,WorldCup,2001,arvand
2,WorldCup,2001,attunited01
3,WorldCup,2001,brainstormers01
4,WorldCup,2001,chameleons
5,WorldCup,2001,cmu
6,WorldCup,2001,crocaroos
9,WorldCup,2001,eval
10,WorldCup,2001,fcportugal
14,WorldCup,2001,fctripletta
16,WorldCup,2001,gironauie
17,WorldCup,2001,goove
19,WorldCup,2001,helli
21,WorldCup,2001,lazarus
22,WorldCup,2001,luckyluebeck
23,WorldCup,2001,nitstones
24,WorldCup,2001,none
25,WorldCup,2001,oulu2001
26,WorldCup,2001,owl
28,WorldCup,2001,runswift
29,WorldCup,2001,saloo
30,WorldCup,2001,sbce
32,WorldCup,2001,systems
35,WorldCup,2001,ututd
36,WorldCup,2001,wizards
37,WorldCup,2001,wrighteagle
39,WorldCup,2001,wwfc
87,WorldCup,2002,.rcl
88,WorldCup,2002,action
90,WorldCup,2002,avan
91,WorldCup,2002,balticluebeck
92,WorldCup,2002,brainstormers02
93,WorldCup,2002,brainstormers03
98,WorldCup,2002,cownaction
99,WorldCup,2002,crocaroos2002
101,WorldCup,2002,dirtydozen
102,WorldCup,2002,everest
104,WorldCup,2002,fcportugal
106,WorldCup,2002,gemini
107,WorldCup,2002,hana
108,WorldCup,2002,harmony
115,WorldCup,2002,iitkanpurtigers
117,WorldCup,2002,matrix2002
119,WorldCup,2002,oliver
120,WorldCup,2002,persepolis
122,WorldCup,2002,polytecs
124,WorldCup,2002,raic
125,WorldCup,2002,robolog2k1
127,WorldCup,2002,runswiftii
129,WorldCup,2002,toricolor
134,WorldCup,2002,ubcdynamo02
137,WorldCup,2002,ututd2002
142,WorldCup,2002,yamakasa
243,WorldCup,2003,.rcl
244,WorldCup,2003,amistres
246,WorldCup,2003,arian
247,WorldCup,2003,avan
252,WorldCup,2003,cmowl
253,WorldCup,2003,coach
254,WorldCup,2003,coach1
255,WorldCup,2003,coach2
256,WorldCup,2003,coachable
259,WorldCup,2003,everest
260,WorldCup,2003,everest0706
261,WorldCup,2003,fcportugal
266,WorldCup,2003,helli
269,WorldCup,2003,iranianscoach
271,WorldCup,2003,isocrobcoach
274,WorldCup,2003,mrb
275,WorldCup,2003,newera
276,WorldCup,2003,nexus
279,WorldCup,2003,polytecs03
281,WorldCup,2003,pwr
283,WorldCup,2003,robosina
284,WorldCup,2003,sahand
293,WorldCup,2003,utaustinvilla
294,WorldCup,2003,ututd2003
295,WorldCup,2003,ututdsasa
296,WorldCup,2003,virtualwerder
353,WorldCup,2004,alborz2004
354,WorldCup,2004,amoiensisnq
358,WorldCup,2004,chagamma
359,WorldCup,2004,cmowl
360,WorldCup,2004,everest
362,WorldCup,2004,gemini
363,WorldCup,2004,hana
364,WorldCup,2004,hearts
365,WorldCup,2004,humboldt
366,WorldCup,2004,impossibles
367,WorldCup,2004,isocrobcoach
368,WorldCup,2004,kshitij
370,WorldCup,2004,mrb
371,WorldCup,2004,oxsy
372,WorldCup,2004,raic2004
374,WorldCup,2004,robosina
375,WorldCup,2004,sfunleashed
379,WorldCup,2004,tsinghuaeolus
380,WorldCup,2004,ututd
384,WorldCup,2004,yowai2004
437,WorldCup,2005,apollo
438,WorldCup,2005,aria
441,WorldCup,2005,humboldt
442,WorldCup,2005,mersad
443,WorldCup,2005,nubot
444,WorldCup,2005,oxsy
446,WorldCup,2005,step04
449,WorldCup,2005,tsinghuaeolus
550,WorldCup,2006,amoiensisnq
552,WorldCup,2006,czu
554,WorldCup,2006,fcportugal2006
555,WorldCup,2006,humboldt
556,WorldCup,2006,incredibles
557,WorldCup,2006,mersad
558,WorldCup,2006,one
566,WorldCup,2006,zjubase
644,WorldCup,2007,ath
645,WorldCup,2007,bahia2d
647,WorldCup,2007,brasil2d
648,WorldCup,2007,czu
650,WorldCup,2007,dainamite
651,WorldCup,2007,fcportugal07
653,WorldCup,2007,furgbol
654,WorldCup,2007,hana
656,WorldCup,2007,incredibles
657,WorldCup,2007,itandroids
658,WorldCup,2007,jet
659,WorldCup,2007,kickofftug
660,WorldCup,2007,lingdong1214
661,WorldCup,2007,meier
666,WorldCup,2007,team
668,WorldCup,2007,yowai
779,WorldCup,2008,.rcl
780,WorldCup,2008,amoiensisnq
782,WorldCup,2008,anoymq
783,WorldCup,2008,apollo
785,WorldCup,2008,bahia2d
787,WorldCup,2008,coached
788,WorldCup,2008,czu
790,WorldCup,2008,dynamyte
791,WorldCup,2008,engine
795,WorldCup,2008,jmu
796,WorldCup,2008,kickofftug
797,WorldCup,2008,leakindrops
798,WorldCup,2008,mecateam
800,WorldCup,2008,nemesis
801,WorldCup,2008,nexus
805,WorldCup,2008,strive
806,WorldCup,2008,strive2d
807,WorldCup,2008,tiji
809,WorldCup,2008,yowai
867,WorldCup,2009,apollo
868,WorldCup,2009,ath09
872,WorldCup,2009,delta2d
874,WorldCup,2009,gear
875,WorldCup,2009,hara
878,WorldCup,2009,hfutengine2d
879,WorldCup,2009,iran
884,WorldCup,2009,marlik08
886,WorldCup,2009,nemesis2009
891,WorldCup,2009,parmida
892,WorldCup,2009,pasargadae
893,WorldCup,2009,persiangulf2d
894,WorldCup,2009,radian09
895,WorldCup,2009,raic09
897,WorldCup,2009,simoper2009
898,WorldCup,2009,sina
899,WorldCup,2009,spiritbreaker
901,WorldCup,2009,tecnicooficial
904,WorldCup,2009,yowai
955,WorldCup,2010,adro
956,WorldCup,2010,amoynq
958,WorldCup,2010,aua
961,WorldCup,2010,brainstormers
962,WorldCup,2010,coach
964,WorldCup,2010,fabulous
966,WorldCup,2010,gpc
967,WorldCup,2010,griffins
969,WorldCup,2010,helium2010
970,WorldCup,2010,hfutengine
974,WorldCup,2010,leakindrops
975,WorldCup,2010,mecateam
978,WorldCup,2010,nemesisrc09
982,WorldCup,2010,ozhan
983,WorldCup,2010,paranoid
985,WorldCup,2010,persiangulf2d
986,WorldCup,2010,raic
